"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
763,4769.44550282099,11066.637589127,23191.8185495533,25598.4681609651,64626.3698024663,461566780.369997,82843661.7308967,544410442.100894,0.0547291280091174,0.0265202054427758,6,11,10,40,1.5,17,22,60,17,58,1078,2076,1083,7
1507,4075.91651731427,12084.5552476008,22530.0564383001,21815.0003497825,60505.5285529977,459621818.390897,81518098.0425702,541139916.433467,0.0545922480304626,0.0262206069061332,7,10,10,40,1.2,14,22,60,17,12,1476,984,724,2
1523,4078.72131774452,12086.4339485401,22451.8767211342,21717.6760998704,60334.7080872892,461071980.426673,82406432.5363781,543478412.963051,0.0546288182384084,0.0263064146291721,7,10,10,40,1.5,14,22,60,17,10,1477,989,713,1
2295,4409.51800534626,15045.1479866852,23252.7790545638,26291.1187350977,68998.5637816929,476314222.347023,89636814.1941346,565951036.541157,0.0555103332076756,0.0274390136673364,8,9,10,40,1.5,14,30,60,17,154,2184,1605,1139,10
3171,3786.14017809932,10213.094307206,23238.5722838588,28612.8759519064,65850.6827210705,461241803.841105,82240968.3296076,543482772.170712,0.054727300535932,0.0264191851348159,9,9,10,40,1.2,14,22,60,17,81,683,372,1268,8
3179,4339.47911344421,9702.49364899217,22764.1549339047,24824.931011334,61631.0587076751,459589868.165844,81444368.5181118,541034236.683955,0.0546079187850586,0.026293474716124,9,9,10,40,1.2,17,22,60,17,20,449,1474,1011,4
3187,3789.35070977935,10215.5254972846,23142.0564376013,28495.109716617,65642.0423612823,462690727.735822,83137994.7242226,545828722.460044,0.0547636574885049,0.0265045990293582,9,9,10,40,1.5,14,22,60,17,76,685,379,1262,5
3195,4344.92558336487,9707.36945140842,22675.9299016953,24716.9123158825,61445.1372523511,461039427.891737,82335057.6959015,543374485.587639,0.0546443289873406,0.0263786995399924,9,9,10,40,1.5,17,22,60,17,17,452,1484,999,3
5603,3601.09792405891,9755.73580521855,23249.1091525649,28606.8917248647,65212.834606707,460482227.701431,81285557.9775772,541767785.679008,0.054624942161124,0.0262099740534902,12,7,10,40,1.2,14,22,60,17,73,481,114,1267,9
5619,3604.20914543533,9758.25411945345,23161.3489048221,28498.9408672982,65022.7530370091,461931350.755687,82173112.4466356,544104463.202322,0.0546615215278232,0.0262955204230313,12,7,10,40,1.5,14,22,60,17,70,482,116,1263,6
